Wavelength,IC1_background,IC1_spot,IC2_background,IC2_spot,IC3_background,IC3_spot,IC4_background,IC4_spot,IC5_background,IC5_spot,IC6_background,IC6_spot,IC7_background,IC7_spot,IC8_background,IC8_spot,IC9_background,IC9_spot,IC10_background,IC10_spot,IC11_background,IC11_spot,IC12_background,IC12_spot,IC13_background,IC13_spot,IC14_background,IC14_spot,IC15_background,IC15_spot,IC16_background,IC16_spot,IC17_background,IC17_spot,IC18_background,IC18_spot,IC19_background,IC19_spot,IC20_background,IC20_spot,IC21_background,IC21_spot,IC22_background,IC22_spot,IC23_background,IC23_spot,IC24_background,IC24_spot,IC25_background,IC25_spot,IC26_background,IC26_spot,IC27_background,IC27_spot,IC28_background,IC28_spot,IC29_background,IC29_spot,IC30_background,IC30_spot,IC31_background,IC31_spot,IC32_background,IC32_spot,IC33_background,IC33_spot,IC34_background,IC34_spot,IC35_background,IC35_spot,IC36_background,IC36_spot,IC37_background,IC37_spot,IC38_background,IC38_spot,IC39_background,IC39_spot,IC40_background,IC40_spot,IC41_background,IC41_spot,IC42_background,IC42_spot,IC43_background,IC43_spot,IC44_background,IC44_spot,IC45_background,IC45_spot,IC46_background,IC46_spot,IC47_background,IC47_spot,IC48_background,IC48_spot,IC49_background,IC49_spot,IC50_background,IC50_spot,IC51_background,IC51_spot,IC52_background,IC52_spot,IC53_background,IC53_spot,IC54_background,IC54_spot,IC55_background,IC55_spot,IC56_background,IC56_spot,IC57_background,IC57_spot,IC58_background,IC58_spot,IC59_background,IC59_spot,IC60_background,IC60_spot,IC61_background,IC61_spot,IC62_background,IC62_spot,IC63_background,IC63_spot,IC64_background,IC64_spot,IC65_background,IC65_spot,IC66_background,IC66_spot,IC67_background,IC67_spot,IC68_background,IC68_spot,IC69_background,IC69_spot,IC70_background,IC70_spot,IC71_background,IC71_spot,IC72_background,IC72_spot,IC73_background,IC73_spot,IC74_background,IC74_spot,IC75_background,IC75_spot,IC76_background,IC76_spot,IC77_background,IC77_spot,IC78_background,IC78_spot,IC79_background,IC79_spot,IC80_background,IC80_spot,IC81_background,IC81_spot,IC82_background,IC82_spot,IC83_background,IC83_spot,IC84_background,IC84_spot
300,8.616133333,3.935666667,6.570133333,3.245066667,10.98526667,2.410533333,7.558333333,3.573933333,13.60153333,6.8094,9.1146,1.541733333,11.49433333,1.261266667,22.6678,9.010666667,14.97093333,4.8338,6.649866667,1.336133333,4.3628,0.972933333,7.541333333,1.5394,17.44106667,4.6058,6.676733333,2.089066667,10.58586667,2.0048,7.113533333,1.812,6.342866667,2.2228,13.80326667,1.912733333,10.6206,4.741666667,9.438533333,1.7322,3.368933333,2.023333333,14.21573333,2.380266667,7.9242,3.3138,6.113,1.0236,15.66333333,3.432533333,13.31266667,4.807933333,8.9926,0.647133333,7.183333333,3.6958,9.458066667,1.933,9.409333333,1.611333333,7.3518,1.630533333,13.09873333,1.310133333,6.641666667,1.554,10.73966667,0.483466667,6.619266667,2.6292,6.231,3.065933333,5.6898,2.299266667,3.282533333,0.068866667,6.5368,2.262066667,13.73553333,2.015533333,14.11606667,1.087666667,10.5796,1.455133333,12.98646667,2.6732,19.2622,3.5362,6.985066667,1.622466667,5.097666667,0.398466667,7.432333333,2.1066,2.984733333,0.379,18.20093333,4.583866667,13.9104,3.826533333,5.9376,2.963666667,12.9884,2.6306,10.2866,2.263,6.3048,0.829133333,11.72033333,2.133466667,5.543466667,1.704866667,8.3782,1.740333333,6.860266667,1.657266667,9.445466667,1.6598,13.168,2.9266,9.384466667,3.6154,5.0366,1.2446,18.25053333,1.362,18.534,8.305933333,9.6466,5.273733333,22.2194,1.5518,18.72293333,1.813866667,4.729,2.061666667,10.13146667,1.2082,14.31606667,1.647666667,5.700666667,1.670533333,9.171,1.126266667,17.35526667,2.431933333,13.15566667,4.1424,5.7632,1.691066667,10.4806,2.0182,5.992266667,2.042266667,7.2092,2.8088,12.64633333,2.669733333,8.888,1.213133333,8.5904,2.968066667,8.142133333,1.574866667,14.45333333,0.946066667,9.3272,0.722933333
301,8.8182,4.0058,6.858933333,3.394933333,11.57426667,2.601533333,7.8074,3.648266667,14.40206667,7.416466667,9.953933333,1.571,12.5308,1.409333333,24.46533333,9.422466667,15.93693333,5.2304,7.079066667,1.4832,4.633333333,1.1846,8.010533333,1.743333333,18.459,4.510333333,6.838066667,1.986333333,11.13053333,1.976266667,7.449466667,1.838866667,6.578266667,2.221866667,14.64966667,1.875133333,11.24873333,4.665,10.06733333,1.611733333,3.4134,2.049933333,15.1632,2.342266667,8.3056,3.3674,6.661533333,0.958933333,16.66726667,3.411533333,14.07926667,4.844,9.698333333,0.714733333,7.4442,3.627133333,10.09813333,2.0024,10.1168,1.690533333,7.6338,1.623,13.7836,1.147066667,6.7798,1.522333333,11.1556,0.6362,6.989133333,2.645266667,6.880933333,3.2808,5.989666667,2.435533333,3.466866667,0.078266667,6.666066667,2.278666667,14.44713333,1.8772,14.7828,1.155133333,11.0276,1.369333333,13.97926667,2.646333333,21.08666667,3.699733333,7.167666667,1.746466667,5.242933333,0.431533333,8.187666667,2.1778,3.0034,0.257066667,18.86093333,4.219666667,14.31086667,3.4926,5.849466667,2.887666667,13.58473333,2.459333333,10.89633333,2.1138,6.432266667,0.588933333,12.2652,1.9822,5.380933333,1.4074,8.559933333,1.561533333,7.014266667,1.371533333,9.785933333,1.457,13.58366667,2.7656,9.403866667,3.5634,4.942133333,1.076666667,18.92626667,1.205,19.40433333,8.439533333,9.727933333,5.289,22.74653333,1.456,19.3774,1.671733333,4.693933333,1.894133333,10.5356,0.898133333,15.3472,1.470133333,5.800533333,1.600133333,9.882133333,0.9462,17.88853333,2.240866667,13.74913333,4.139133333,5.738733333,1.498466667,11.19006667,1.715866667,5.967266667,1.885933333,7.603866667,2.703133333,13.49446667,2.356066667,9.176533333,0.944533333,8.7796,2.690866667,8.402933333,1.294933333,15.02346667,0.701533333,9.383466667,0.525666667
302,8.739266667,3.8124,6.9254,3.3866,11.8934,2.377,7.866466667,3.491733333,15.01573333,7.390533333,10.11146667,1.567333333,13.08426667,1.237,25.99726667,9.587666667,16.37013333,5.188733333,6.950866667,1.1812,4.432866667,0.947666667,7.9016,1.5724,19.7336,4.574533333,6.938933333,2.023,11.3048,1.957866667,7.752066667,1.747133333,6.660733333,2.1944,15.52993333,1.774266667,11.7348,4.564066667,10.59,1.373266667,3.358466667,1.976666667,15.97933333,2.3606,8.507466667,3.229866667,7.138333333,0.913,17.29626667,3.278866667,14.71706667,4.8378,9.764866667,0.500733333,7.4634,3.291733333,10.51713333,1.766733333,10.46766667,1.5794,7.653533333,1.397933333,14.27453333,0.922066667,6.787866667,1.331533333,11.15633333,0.501133333,6.9174,2.4786,7.178733333,3.115133333,5.826466667,2.211466667,3.550333333,-0.080266667,6.741133333,2.054333333,15.19933333,1.5956,15.4894,0.963733333,11.243,1.155666667,14.75326667,2.4,22.7412,3.6926,7.096266667,1.5444,5.1576,0.454466667,8.593066667,1.964866667,2.768866667,0.132733333,19.48193333,3.981266667,14.71393333,3.264333333,5.592933333,2.683333333,13.92693333,2.169,11.146,1.810133333,6.180133333,0.294066667,12.66266667,1.392266667,5.195266667,0.9352,8.3736,1.198266667,6.7378,0.814866667,9.5896,0.937466667,13.8444,2.404333333,8.98,3.050266667,4.4808,0.688133333,19.2714,0.779,19.86993333,8.156666667,9.424933333,5.078866667,22.99633333,1.1744,20.1446,1.308066667,4.398666667,1.4598,10.3892,0.3658,16.27173333,1.2856,5.5218,1.331533333,10.21113333,0.509266667,18.52586667,2.184866667,14.43733333,3.795666667,5.730333333,1.351666667,12.128,1.5058,5.602933333,1.6002,8.033466667,2.4826,14.3348,2.2504,9.586133333,0.7704,8.5508,2.4458,8.301,0.879866667,15.53886667,0.768733333,9.170666667,0.326266667
303,8.999333333,3.602466667,7.080733333,3.3354,12.37966667,2.268866667,8.144866667,3.449,15.68286667,7.729133333,10.75213333,1.493133333,13.9782,1.1204,27.5484,9.8076,17.322,5.264266667,7.192,1.063,4.454266667,0.836266667,7.9844,1.325133333,20.99606667,4.598533333,7.139133333,2.201333333,11.81286667,2.0084,8.078933333,1.7614,6.9264,2.1612,16.54786667,1.925666667,12.296,4.606133333,11.01733333,1.323666667,3.459066667,1.990933333,16.98673333,2.2364,8.850266667,3.194133333,7.8318,1.020666667,18.09166667,3.372,15.32913333,4.8514,10.363,0.456933333,7.59,3.1618,11.09513333,1.675,10.9904,1.484733333,7.905,1.147133333,14.83833333,0.7254,6.800133333,1.115266667,11.80593333,0.454733333,7.107666667,2.3006,7.814533333,2.951533333,5.8572,2.2328,3.409733333,-0.203866667,6.840533333,1.9644,16.10633333,1.561266667,16.20473333,0.711733333,11.57013333,1.094133333,15.48986667,2.155,24.52,3.755266667,7.324866667,1.337533333,5.149933333,0.220733333,9.3146,1.929933333,2.825666667,-0.169133333,20.4678,3.922866667,15.65393333,3.148666667,5.766133333,2.687333333,14.76273333,2.174866667,11.85946667,1.711066667,6.518,0.293933333,13.27706667,1.354333333,5.217733333,1.063,8.7654,1.2204,7.262733333,0.872,10.1414,0.887133333,14.44346667,2.374266667,9.226066667,2.888333333,4.597333333,0.592333333,20.0444,0.860333333,20.582,8.736666667,9.681733333,5.099133333,23.75893333,1.0536,21.16373333,1.303733333,4.256266667,1.432733333,10.869,0.3414,17.8222,1.1056,5.742333333,1.399866667,11.03446667,0.413733333,19.58993333,2.0212,15.4044,3.758866667,5.896733333,1.042333333,13.37046667,1.405666667,5.489533333,1.3808,8.5216,2.167866667,15.29573333,1.9476,10.06486667,0.4158,8.6648,2.121933333,8.3894,0.626533333,16.2852,0.2942,9.230466667,-0.146533333
304,9.109266667,3.4678,6.927333333,3.1342,12.4832,2.047733333,8.025,3.086,15.8254,7.581333333,10.75933333,1.279133333,14.2162,0.740933333,28.41373333,9.712,17.43146667,5.2734,7.005866667,0.564066667,3.901733333,0.5374,7.543533333,1.121266667,21.91133333,4.4558,7.057866667,2.016666667,12.088,1.833733333,7.808933333,1.394133333,6.8094,1.6684,17.2268,1.65,12.53626667,4.555066667,11.31786667,1.210066667,3.106466667,1.769933333,17.4204,1.916666667,8.7264,2.823066667,8.061733333,0.833666667,18.88766667,3.220333333,15.66693333,4.779066667,10.5182,0.480066667,7.3764,2.666333333,11.2736,1.555266667,10.91333333,1.065,7.714066667,0.693666667,15.0772,0.382733333,6.596533333,0.6288,11.79646667,0.034,6.982466667,1.6374,7.954466667,2.888666667,5.764066667,1.935933333,3.302666667,-0.369866667,6.5594,1.811666667,16.89,1.175066667,16.66633333,0.4468,11.53853333,0.8852,16.01693333,1.813466667,26.15653333,3.671,7.255066667,1.0174,4.800866667,0.043933333,9.558133333,1.543733333,2.540533333,-0.257066667,21.08666667,3.715266667,16.2096,2.965333333,5.9066,2.599933333,15.11013333,2.076266667,12.30486667,1.577733333,6.423333333,0.1514,13.7786,1.280133333,4.795333333,0.742666667,8.7828,0.7938,7.224133333,0.481133333,10.30826667,0.673066667,14.62786667,2.157133333,8.668866667,2.670266667,4.340866667,0.3672,20.18313333,0.586666667,20.70753333,8.542866667,9.639266667,4.853733333,24.0662,0.604666667,21.62726667,1.0542,4.059066667,0.982533333,10.73006667,0.128533333,18.71466667,0.903333333,5.7534,1.0914,11.036,0.189,20.0104,2.0514,15.72193333,3.413066667,5.916333333,0.939066667,14.44786667,1.263466667,5.286,1.164333333,8.644933333,1.8626,15.69946667,1.631,10.28413333,0.14,8.776666667,1.717066667,8.241933333,0.3992,16.72206667,0.1552,8.819733333,-0.308333333
305,9.508533333,3.843,7.2648,3.4026,13.58406667,2.345133333,8.772066667,3.345533333,16.95806667,8.700933333,11.99273333,1.717133333,15.61946667,0.981266667,30.6948,10.64206667,18.74126667,5.932066667,7.828533333,0.758666667,4.536866667,0.705733333,8.598466667,1.5144,23.29286667,4.755866667,7.458266667,2.317466667,13.11066667,2.1886,8.4996,1.632666667,7.493933333,2.033666667,18.7522,1.9422,13.50286667,5.046933333,12.5338,1.440333333,3.576333333,2.026333333,18.6348,2.217666667,9.4944,3.303133333,9.254266667,1.093333333,19.87713333,3.4342,16.64106667,5.066866667,11.33606667,0.513066667,7.9238,2.893,12.1014,1.8172,12.297,1.240333333,8.482933333,0.758333333,16.41873333,0.4484,7.102466667,0.804733333,12.9448,0.2664,7.620733333,1.933333333,8.842533333,3.347733333,6.239333333,2.064333333,3.649666667,-0.3576,7.3304,2.283266667,18.461,1.3722,17.78033333,0.5018,12.26693333,0.9824,17.36733333,1.974733333,28.53913333,4.295,7.659533333,1.1804,5.266266667,0.121133333,10.6006,1.773533333,2.8558,-0.157933333,22.34333333,3.806,17.2376,3.116866667,6.151333333,2.66,16.19933333,1.9862,13.23086667,1.466466667,6.878866667,0.033733333,14.9562,1.1802,5.1856,0.821133333,9.4614,0.7214,7.992266667,0.572933333,11.1808,0.6822,15.67133333,2.2416,9.315133333,2.893933333,4.768933333,0.4008,21.25226667,0.291866667,22.07026667,9.493066667,10.42153333,5.222066667,25.402,0.578466667,23.13793333,1.0388,4.230866667,0.9084,11.5316,0.210333333,20.6118,0.7824,6.434066667,1.074733333,12.0708,0.060133333,20.82553333,2.185466667,16.78753333,3.6862,6.518466667,1.043733333,16.32806667,1.243133333,5.632933333,1.2304,9.784933333,1.946533333,17.256,1.681133333,11.42486667,0.064133333,9.6774,1.876266667,8.670333333,0.382333333,18.0394,0.263933333,9.236066667,-0.480933333
306,9.924866667,3.9542,8.036133333,3.8376,14.6112,2.684866667,9.4356,3.8012,18.50573333,9.923266667,13.3664,2.127266667,16.94133333,1.3554,32.9904,11.6004,20.09513333,6.559466667,8.78,1.198066667,5.226866667,1.254733333,9.473,1.9976,25.0224,5.244133333,8.117133333,2.699866667,14.0288,2.533333333,9.262133333,1.866133333,8.347066667,2.517466667,20.39966667,2.472066667,14.87466667,5.757133333,13.8672,1.895466667,4.293733333,2.334533333,20.10706667,2.637066667,10.3604,3.853866667,10.72093333,1.464266667,21.04953333,3.4014,17.42213333,5.3062,11.9084,0.4146,8.5862,3.192466667,13.32413333,1.9788,13.37633333,1.456933333,9.178466667,0.626933333,17.95713333,0.582933333,7.840066667,0.9066,13.7564,0.267133333,8.048,2.196866667,9.548733333,3.670866667,6.650333333,2.048,3.683133333,-0.4264,7.901733333,2.401466667,19.84746667,1.476133333,19.08673333,0.470533333,12.87593333,1.073333333,18.6068,2.0256,31.08726667,4.767066667,8.241066667,1.1738,5.730533333,0.065666667,11.75166667,1.791066667,3.066066667,-0.149266667,23.8454,4.1534,18.65233333,3.6462,6.9258,3.167533333,17.84213333,2.342666667,14.734,1.824866667,7.777866667,0.367533333,16.65126667,1.681666667,6.070266667,1.4342,10.6444,1.2864,9.3444,1.221133333,12.6848,1.271266667,17.34253333,3.045266667,10.4246,3.600066667,5.633333333,0.896666667,22.71726667,0.9294,23.37533333,10.93506667,11.52726667,5.917733333,27.37393333,1.084266667,25.432,1.5318,4.989266667,1.497466667,12.95933333,0.7306,23.20186667,1.3926,7.666133333,1.4962,13.5094,0.661733333,22.02713333,2.535333333,18.14126667,4.1022,7.371333333,1.3678,18.57166667,1.641266667,6.299066667,1.504466667,11.42453333,2.408466667,18.98193333,2.216466667,12.9798,0.385933333,10.9204,2.361933333,9.689,0.8536,19.95253333,0.821466667,10.21886667,-0.321666667
307,9.980866667,3.842066667,8.144133333,3.557466667,14.89126667,2.591466667,9.398266667,3.651733333,19.15,10.27806667,13.96393333,2.015133333,17.60426667,1.355333333,34.3722,11.6658,20.62733333,6.699533333,8.976,1.179333333,5.357533333,1.142733333,9.622466667,1.857533333,26.08046667,5.401066667,8.372266667,2.855733333,14.657,2.644933333,9.646333333,2.043533333,8.803266667,2.689533333,21.63526667,2.6512,15.74106667,5.8904,14.75053333,2.030733333,4.592666667,2.249266667,21.24726667,2.6886,10.6562,4.033533333,11.6698,1.598733333,21.87673333,3.6004,18.11026667,5.294,12.5342,0.266333333,9.004666667,3.185133333,14.11006667,2.1254,14.12586667,1.3258,9.471533333,0.6084,18.8426,0.6338,7.957333333,0.8188,14.37926667,0.234666667,8.4292,1.965266667,10.22886667,3.792466667,6.782933333,2.079933333,3.6908,-0.3818,8.120533333,2.537,21.07633333,1.654533333,20.02373333,0.543333333,13.16173333,1.054533333,19.41413333,2.0472,33.27646667,5.0414,8.554,1.284266667,6.031933333,0.055333333,12.6902,1.7056,3.241,-0.045,24.724,4.081866667,19.6088,3.425133333,7.0458,3.0204,18.6124,2.032066667,15.3082,1.758066667,7.756,0.0144,17.44073333,1.601266667,6.2264,1.34,11.09733333,1.0966,9.800733333,1.2358,13.533,1.177466667,17.74666667,3.128,10.32526667,3.588133333,5.786333333,0.680333333,23.54366667,0.968733333,24.28966667,11.31266667,11.84806667,6.072933333,28.1784,0.867933333,26.21706667,1.4398,4.9334,1.209666667,13.41786667,0.672333333,25.04346667,1.068533333,7.9478,1.293733333,14.27506667,0.481066667,22.56753333,2.590266667,18.78386667,4.4688,7.7176,1.412733333,20.2382,1.7872,6.849733333,1.549533333,11.94986667,2.640266667,19.77506667,2.156933333,13.85193333,0.408133333,11.473,2.429066667,10.06453333,0.9904,21.06953333,0.8042,10.3266,-0.425466667
308,9.873466667,3.9792,8.254533333,3.685266667,15.30973333,2.731466667,9.4658,3.590666667,19.8202,10.7408,14.46966667,2.031933333,18.20266667,1.566266667,36.1214,11.98486667,21.0252,7.007866667,9.141666667,1.342333333,5.406066667,1.267,9.689133333,2.031666667,26.88933333,5.4524,8.5972,3.090533333,14.9462,2.886733333,9.9222,2.312133333,9.073,2.8954,22.47526667,2.922066667,16.3792,6.1196,15.362,2.316866667,4.648066667,2.5366,21.86586667,3.106666667,10.88073333,4.3,12.5092,1.799866667,22.5492,3.774466667,18.57393333,5.4928,12.8558,0.571933333,9.2864,3.505333333,14.76033333,2.523266667,14.86646667,1.5758,9.992066667,0.936866667,19.81453333,0.962066667,8.215266667,1.1138,14.65753333,0.630066667,8.721666667,2.3408,10.55893333,4.2142,6.983266667,2.127866667,3.909133333,0.07,8.480066667,2.7996,22.22193333,1.679666667,20.89613333,0.882733333,13.39346667,1.3272,20.2298,2.399866667,35.49913333,5.4086,8.666933333,1.7034,6.411933333,0.4052,13.55306667,1.889,3.3688,0.3836,25.3164,3.905266667,20.13586667,3.217133333,6.987666667,2.945733333,19.11826667,1.755866667,15.43233333,1.634133333,7.532933333,-0.0464,18.10273333,1.521933333,6.2044,1.300933333,11.1852,1.064866667,9.772266667,1.059466667,13.752,1.038333333,18.05093333,3.207666667,10.12686667,3.584,5.596733333,0.6568,23.849,0.901666667,24.8196,11.51866667,11.8002,6.278,28.7226,0.7376,26.8536,1.293333333,4.929933333,1.084266667,13.52753333,0.5272,26.2244,1.121,8.050066667,1.107133333,14.78386667,0.481533333,22.808,2.742066667,18.94833333,4.5194,7.654333333,1.488666667,21.51593333,2.052933333,7.1406,1.625533333,12.65826667,2.893266667,20.30633333,2.3214,14.37066667,0.5726,11.726,2.580933333,10.21633333,1.041,21.6514,0.9686,10.38986667,-0.083933333
309,10.19366667,4.245533333,8.9562,4.1824,16.10833333,3.099666667,10.0536,4.1338,20.80206667,11.74353333,15.5822,2.4188,19.51693333,2.1654,38.2706,12.9962,22.22813333,7.5042,9.950933333,2.024533333,6.446933333,1.9584,10.72893333,2.538266667,27.884,5.600466667,8.983,3.168733333,15.66746667,3.104266667,10.69633333,2.702266667,9.736133333,3.2124,23.6634,3.350466667,17.3324,6.527533333,16.46946667,2.6064,5.218733333,2.725266667,22.97866667,3.4436,11.71186667,4.704066667,13.6746,2.1436,23.33626667,3.9202,19.416,5.779733333,13.636,0.732933333,9.943266667,3.954666667,15.89413333,3.049466667,16.20146667,1.9746,10.62826667,1.300066667,20.86213333,1.190066667,8.902866667,1.4892,15.63406667,1.15,9.389266667,2.819133333,11.39813333,4.7676,7.523,2.461933333,4.2932,0.307866667,9.268933333,3.236133333,23.43426667,2.0344,21.91386667,1.2014,14.04233333,1.681466667,21.47046667,2.902666667,37.81933333,5.998266667,9.233066667,2.113,7.015733333,0.688866667,14.68293333,2.435866667,3.817933333,0.419133333,26.53793333,4.2148,21.24733333,3.408866667,7.4178,3.406466667,20.38006667,2.157533333,16.3632,1.9298,8.291466667,0.259466667,19.11746667,1.9818,7.067266667,1.865666667,12.11146667,1.676666667,10.81406667,1.6006,14.9504,1.509066667,19.37026667,3.868,11.29806667,4.291933333,6.2242,1.197533333,25.3858,1.3024,26.3924,12.6556,12.71526667,7.128866667,30.2056,1.419133333,28.48726667,1.905,5.639466667,1.637466667,14.7022,0.903333333,28.45373333,1.7912,9.137333333,1.695266667,16.0882,0.8694,23.598,2.879666667,19.71233333,4.886133333,7.998666667,1.800666667,23.0554,2.169,7.583866667,1.657333333,13.576,3.227,21.3242,2.8388,15.24766667,0.862733333,12.64473333,2.842266667,10.94413333,1.4024,22.76153333,1.209666667,11.15273333,0.402333333
310,10.008,3.9082,9.080266667,3.9878,15.9342,2.707866667,9.716866667,3.9092,20.84873333,11.45706667,15.5376,1.920266667,19.92173333,1.797133333,39.1924,12.72106667,22.2772,7.306933333,9.501,1.646133333,5.996066667,1.614133333,10.1086,1.9408,28.24153333,5.3476,8.886733333,2.741666667,15.58193333,2.782266667,10.37533333,2.430133333,9.522333333,2.860333333,23.79313333,2.885066667,17.3318,6.1756,16.21733333,2.332733333,4.820533333,2.454133333,23.27113333,3.146933333,11.32533333,4.276533333,13.98026667,1.867333333,24.07606667,3.864933333,19.8654,5.815,13.7724,0.984466667,9.909,3.974866667,16.3296,3.054133333,16.49733333,2.029133333,10.634,1.351666667,21.55486667,1.261933333,8.792733333,1.553466667,15.58993333,1.065066667,9.385866667,2.7432,11.49086667,4.793933333,7.485066667,2.430933333,4.251866667,0.430133333,9.087466667,3.020333333,24.1632,2.170066667,22.39973333,1.362933333,14.06493333,1.7014,21.98666667,2.816333333,39.412,5.929533333,9.238533333,2.033866667,6.9746,0.7258,15.27253333,2.448666667,3.6584,0.343333333,27.23006667,4.242933333,21.74046667,3.376133333,7.434466667,3.500866667,20.88333333,2.152466667,16.6374,2.0292,8.287466667,0.234533333,19.67486667,2.034133333,7.081,1.8348,12.039,1.844066667,10.74706667,1.5682,15.18306667,1.440466667,19.50326667,3.831066667,11.19846667,4.246466667,6.105133333,1.128266667,25.3744,1.466466667,26.58646667,12.62046667,12.77673333,7.271533333,30.69986667,1.314666667,28.99686667,1.956,5.7172,1.735333333,14.88706667,0.8096,29.4918,1.852733333,9.145933333,1.640666667,16.3012,1.022066667,23.8646,2.916,19.9668,4.740666667,7.8532,1.788533333,24.00086667,2.181066667,7.353533333,1.572533333,13.97606667,2.996733333,21.4696,2.778133333,14.9446,0.777866667,12.20833333,2.624133333,10.76233333,1.4024,22.82213333,1.052133333,10.94666667,0.329666667
311,9.907266667,3.7968,8.999733333,3.674,15.87073333,2.464066667,9.839666667,3.572,20.9694,11.0978,15.6386,1.849066667,20.3126,1.616866667,40.27433333,12.7594,22.31466667,7.1474,9.2354,1.303266667,5.794266667,1.181,10.01066667,1.5658,28.63853333,5.193,8.817466667,2.613266667,15.6652,2.858133333,10.28833333,2.394133333,9.444266667,2.732066667,24.178,2.701,17.3324,6.0214,16.22666667,2.1018,4.600466667,2.297733333,23.60933333,3.009333333,11.34133333,4.037466667,14.35073333,1.821933333,24.2986,3.937666667,20.0204,5.817133333,14.08233333,0.905466667,9.735933333,3.876866667,16.49273333,3.0752,16.68333333,1.728666667,10.70193333,1.410533333,21.74186667,1.161466667,8.490666667,1.717666667,15.68046667,1.008666667,9.254266667,2.5842,11.97706667,4.572066667,7.575933333,2.5764,4.4278,0.380733333,9.094266667,3.007866667,24.59466667,2.314066667,22.72413333,1.285133333,14.24193333,1.7508,22.50513333,2.802333333,40.8362,5.864133333,9.2788,2.0858,7.005533333,0.667866667,15.6808,2.400133333,3.7084,0.569533333,27.78773333,4.331733333,22.55206667,3.316066667,7.575866667,3.461733333,21.36626667,2.141533333,16.76446667,2.027466667,8.319,0.239533333,20.06586667,1.8636,7.1706,1.695733333,12.19446667,1.778266667,10.66953333,1.394066667,15.41206667,1.399133333,20.0038,3.579466667,11.0018,4.106733333,6.042333333,0.947733333,26.1224,1.3636,27.37646667,12.7482,12.879,7.392333333,31.28186667,1.1986,29.3692,2.170666667,5.6264,1.755133333,14.97593333,0.787333333,30.65866667,1.706066667,9.1346,1.622266667,16.6484,0.760066667,24.17233333,2.917133333,20.37246667,4.730333333,7.993333333,1.864066667,24.9546,2.2318,7.431066667,1.660333333,14.34253333,3.023,21.7018,2.667466667,15.14966667,0.666333333,12.27566667,2.575533333,10.53046667,1.3286,23.09213333,0.854,10.75233333,0.5534
312,10.03046667,3.8756,9.011,3.911733333,16.08453333,2.419266667,10.03726667,3.5848,21.08593333,11.31566667,15.81453333,1.719533333,20.92466667,1.589933333,40.97333333,12.93146667,22.49813333,7.2108,9.085666667,1.276,5.8284,1.228533333,10.10513333,1.5856,29.0428,5.0454,8.917333333,2.358466667,15.46153333,2.7666,10.25913333,2.188666667,9.390066667,2.525333333,24.40393333,2.5706,17.3972,5.919933333,16.257,1.992666667,4.218133333,2.169733333,23.65673333,2.916533333,11.42446667,3.989066667,14.78673333,1.713066667,24.84886667,3.8102,20.21626667,5.868666667,14.2316,1.077133333,9.496666667,3.659533333,16.57526667,2.953066667,16.996,1.690466667,10.80553333,1.350266667,21.8774,0.871866667,8.2674,1.681,15.6634,0.996,9.085933333,2.464666667,11.78826667,4.431533333,7.598066667,2.432266667,4.219,0.29,9.077,2.9654,24.7422,2.2964,22.76366667,1.076066667,14.40206667,1.7706,22.76526667,2.6232,42.0422,5.6968,9.201933333,1.862533333,6.857666667,0.6556,15.9282,2.4074,3.502,0.373866667,28.1618,4.425533333,23.13933333,3.362466667,7.556533333,3.3734,21.7232,2.311666667,17.00386667,1.8914,8.310933333,0.203933333,20.55866667,1.752466667,7.077933333,1.5974,11.83953333,1.533133333,10.5248,1.2468,15.38393333,1.1908,20.3376,3.368733333,11.0528,3.883333333,5.8408,0.74,26.00933333,1.191666667,27.42093333,12.89473333,12.73146667,7.226733333,31.68946667,0.990866667,29.68133333,1.974,5.609133333,1.779133333,15.0954,0.457,31.115,1.754466667,9.077066667,1.499466667,16.87606667,0.601266667,24.44906667,2.825066667,20.6178,4.4968,8.018733333,1.623466667,25.43146667,2.078,7.018466667,1.494933333,14.7994,2.7922,22.07066667,2.463333333,14.90053333,0.514666667,12.183,2.320666667,10.41386667,1.201666667,22.94393333,0.614266667,10.64853333,0.315133333
